id,gender,hand,condition,value
1307,F,Dominant,before,23
1307,F,Dominant,after,23
1307,F,Dominant,fatigue,33
1307,F,Dominant,strength,0
1307,F,Dominant,after,26
1307,F,Dominant,fatigue,38
1307,F,Non-dominant,dominant,26
1307,F,Non-dominant,dominant,5
1307,F,Non-dominant,dominant,55
1307,F,Non-dominant,dominant,21
1307,F,Non-dominant,dominant,4
1307,F,Non-dominant,dominant,96
2497,F,Dominant,before,33
2497,F,Dominant,after,18
2497,F,Dominant,fatigue,74
2497,F,Dominant,strength,15
2497,F,Dominant,before,37
2497,F,Dominant,after,28
2497,F,Dominant,fatigue,312
2497,F,Dominant,strength,9
2497,F,Non-dominant,dominant,28
2497,F,Non-dominant,dominant,21
2497,F,Non-dominant,dominant,40
2497,F,Non-dominant,dominant,7
2497,F,Non-dominant,dominant,12
2497,F,Non-dominant,dominant,20
2497,F,Non-dominant,dominant,362
4627,M,Dominant,before,100
4627,M,Dominant,after,90
4627,M,Dominant,fatigue,75
4627,M,Dominant,strength,10
4627,M,Dominant,before,100
4627,M,Dominant,after,62
4627,M,Dominant,fatigue,80
4627,M,Dominant,strength,38
4627,M,Non-dominant,dominant,110
4627,M,Non-dominant,dominant,107
4627,M,Non-dominant,dominant,90
4627,M,Non-dominant,dominant,3
4627,M,Non-dominant,dominant,107
4627,M,Non-dominant,dominant,82
4627,M,Non-dominant,dominant,85
1102,F,Dominant,before,5
1102,F,Dominant,after,5
1102,F,Dominant,fatigue,70
1102,F,Dominant,strength,0
1102,F,Dominant,before,6
1102,F,Dominant,after,6
1102,F,Dominant,fatigue,55
1102,F,Dominant,strength,0
1102,F,Non-dominant,dominant,14
1102,F,Non-dominant,dominant,20
1102,F,Non-dominant,dominant,53
1102,F,Non-dominant,dominant,-6
1102,F,Non-dominant,dominant,28
1102,F,Non-dominant,dominant,30
1102,F,Non-dominant,dominant,120
1955,F,Dominant,before,10
1955,F,Dominant,after,17
1955,F,Dominant,fatigue,30
1955,F,Dominant,strength,-7
1955,F,Dominant,before,36
1955,F,Dominant,after,7
1955,F,Dominant,fatigue,80
1955,F,Dominant,strength,29
1955,F,Non-dominant,dominant,5
1955,F,Non-dominant,dominant,6
1955,F,Non-dominant,dominant,57
1955,F,Non-dominant,dominant,-1
1955,F,Non-dominant,dominant,2
1955,F,Non-dominant,dominant,2
1955,F,Non-dominant,dominant,120
2018,F,Dominant,before,37
2018,F,Dominant,after,50
2018,F,Dominant,fatigue,120
2018,F,Dominant,strength,-13
2018,F,Dominant,after,51
2018,F,Dominant,fatigue,132
2018,F,Non-dominant,dominant,37
2018,F,Non-dominant,dominant,38
2018,F,Non-dominant,dominant,108
2018,F,Non-dominant,dominant,-1
2018,F,Non-dominant,dominant,53
2018,F,Non-dominant,dominant,180
3333,F,Dominant,before,44
3333,F,Dominant,after,31
3333,F,Dominant,fatigue,66
3333,F,Dominant,strength,13
3333,F,Dominant,before,44
3333,F,Dominant,after,30
3333,F,Dominant,fatigue,140
3333,F,Dominant,strength,14
3333,F,Non-dominant,dominant,50
3333,F,Non-dominant,dominant,7
3333,F,Non-dominant,dominant,79
3333,F,Non-dominant,dominant,43
3333,F,Non-dominant,dominant,50
3333,F,Non-dominant,dominant,20
3333,F,Non-dominant,dominant,180
5515,F,Dominant,before,15
5515,F,Dominant,after,20
5515,F,Dominant,fatigue,40
5515,F,Dominant,strength,-5
5515,F,Dominant,after,18
5515,F,Dominant,fatigue,30
5515,F,Non-dominant,dominant,62
5515,F,Non-dominant,dominant,62
5515,F,Non-dominant,dominant,40
5515,F,Non-dominant,dominant,0
5515,F,Non-dominant,dominant,50
5515,F,Non-dominant,dominant,30
4416,F,Dominant,before,26
4416,F,Dominant,after,38
4416,F,Dominant,fatigue,120
4416,F,Dominant,strength,-12
4416,F,Dominant,before,26
4416,F,Dominant,after,20
4416,F,Dominant,fatigue,80
4416,F,Dominant,strength,6
4416,F,Non-dominant,dominant,48
4416,F,Non-dominant,dominant,20
4416,F,Non-dominant,dominant,135
4416,F,Non-dominant,dominant,28
4416,F,Non-dominant,dominant,48
4416,F,Non-dominant,dominant,22
4416,F,Non-dominant,dominant,112
7814,M,Dominant,before,105
7814,M,Dominant,after,105
7814,M,Dominant,fatigue,47
7814,M,Dominant,strength,0
7814,M,Dominant,before,105
7814,M,Dominant,after,62
7814,M,Dominant,fatigue,82
7814,M,Dominant,strength,43
7814,M,Non-dominant,dominant,62
7814,M,Non-dominant,dominant,40
7814,M,Non-dominant,dominant,56
7814,M,Non-dominant,dominant,22
7814,M,Non-dominant,dominant,55
7814,M,Non-dominant,dominant,36
7814,M,Non-dominant,dominant,60
7714,F,Dominant,before,49
7714,F,Dominant,after,12
7714,F,Dominant,fatigue,62
7714,F,Dominant,strength,37
7714,F,Dominant,before,49
7714,F,Dominant,after,10
7714,F,Dominant,fatigue,121
7714,F,Dominant,strength,39
7714,F,Non-dominant,dominant,33
7714,F,Non-dominant,dominant,12
7714,F,Non-dominant,dominant,63
7714,F,Non-dominant,dominant,21
7714,F,Non-dominant,dominant,33
7714,F,Non-dominant,dominant,6
7714,F,Non-dominant,dominant,118
2124,F,Dominant,before,23
2124,F,Dominant,after,20
2124,F,Dominant,fatigue,38
2124,F,Dominant,strength,3
2124,F,Dominant,before,28
2124,F,Dominant,after,38
2124,F,Dominant,fatigue,30
2124,F,Dominant,strength,-10
2124,F,Non-dominant,dominant,20
2124,F,Non-dominant,dominant,20
2124,F,Non-dominant,dominant,30
2124,F,Non-dominant,dominant,0
2124,F,Non-dominant,dominant,38
2124,F,Non-dominant,dominant,40
1969,M,Dominant,before,62
1969,M,Dominant,after,38
1969,M,Dominant,fatigue,64
1969,M,Dominant,strength,24
1969,M,Dominant,before,75
1969,M,Dominant,after,48
1969,M,Dominant,fatigue,43
1969,M,Dominant,strength,27
1969,M,Non-dominant,dominant,50
1969,M,Non-dominant,dominant,38
1969,M,Non-dominant,dominant,61
1969,M,Non-dominant,dominant,12
1969,M,Non-dominant,dominant,60
1969,M,Non-dominant,dominant,38
1969,M,Non-dominant,dominant,40
1003,M,Dominant,before,72
1003,M,Dominant,after,58
1003,M,Dominant,fatigue,50
1003,M,Dominant,strength,14
1003,M,Dominant,before,42
1003,M,Dominant,after,26
1003,M,Dominant,fatigue,17
1003,M,Dominant,strength,16
1003,M,Non-dominant,dominant,20
1003,M,Non-dominant,dominant,28
1003,M,Non-dominant,dominant,104
1003,M,Non-dominant,dominant,-8
1003,M,Non-dominant,dominant,13
1003,M,Non-dominant,dominant,26
1003,M,Non-dominant,dominant,45
1920,F,Dominant,before,31
1920,F,Dominant,after,20
1920,F,Dominant,fatigue,100
1920,F,Dominant,strength,11
1920,F,Dominant,before,22
1920,F,Dominant,after,26
1920,F,Dominant,fatigue,38
1920,F,Dominant,strength,-4
1920,F,Non-dominant,dominant,22
1920,F,Non-dominant,dominant,11
1920,F,Non-dominant,dominant,100
1920,F,Non-dominant,dominant,11
1920,F,Non-dominant,dominant,13
1920,F,Non-dominant,dominant,26
1920,F,Non-dominant,dominant,110
1147,F,Dominant,before,31
1147,F,Dominant,after,35
1147,F,Dominant,fatigue,70
1147,F,Dominant,strength,-4
1147,F,Dominant,before,47
1147,F,Dominant,after,38
1147,F,Dominant,fatigue,60
1147,F,Dominant,strength,9
1147,F,Non-dominant,dominant,25
1147,F,Non-dominant,dominant,10
1147,F,Non-dominant,dominant,43
1147,F,Non-dominant,dominant,15
1147,F,Non-dominant,dominant,28
1147,F,Non-dominant,dominant,10
1147,F,Non-dominant,dominant,52
3803,F,Dominant,before,35
3803,F,Dominant,after,28
3803,F,Dominant,fatigue,32
3803,F,Dominant,strength,7
3803,F,Dominant,before,42
3803,F,Dominant,after,32
3803,F,Dominant,fatigue,36
3803,F,Dominant,strength,10
3803,F,Non-dominant,dominant,22
3803,F,Non-dominant,dominant,17
3803,F,Non-dominant,dominant,35
3803,F,Non-dominant,dominant,5
3803,F,Non-dominant,dominant,15
3803,F,Non-dominant,dominant,15
3803,F,Non-dominant,dominant,36
1012,F,Dominant,before,25
1012,F,Dominant,after,20
1012,F,Dominant,fatigue,40
1012,F,Dominant,strength,5
1012,F,Dominant,before,28
1012,F,Dominant,after,6
1012,F,Dominant,fatigue,45
1012,F,Dominant,strength,22
1012,F,Non-dominant,dominant,4
1012,F,Non-dominant,dominant,13
1012,F,Non-dominant,dominant,35
1012,F,Non-dominant,dominant,-9
1012,F,Non-dominant,dominant,10
1012,F,Non-dominant,dominant,10
1012,F,Non-dominant,dominant,45
